guid,Location,MacroLocation,City,County,Region,BoW,tags
kXA$UYm4~W,North East,,,,North East,,Region England
soAlWB6AiG,Yorkshire and the Humber,,,,Yorkshire and the Humber,,Region England
q3D];]_HO[,North West,,,,North West,,Region England
c!1jUC1pH,West Midlands,,,,West Midlands,,Region England
rXO2BadWkU,East Midlands,,,,East Midlands,,Region England
h*5bdJ##dr,East of England,,,,East of England,,Region England
dHMXAsPRYM,South East,,,,South East,,Region England
uJf(>TMHlq,South West,,,,South West,,Region England
sV?}]HhjQ$,London,,,,London,,Region England
vB4e5@BQ7s,Wales,,,,Wales,,Region Wales
kkV6M8qb:/,Northern Ireland,,,,Northern Ireland,,Region NorthernIreland
seLD;o#bZz,Scotland,,,,Scotland,,Region Scotland
j(<7zoD:[E,Northumberland,North East,,Northumberland,,,County England
d2^85Uh!++,Tyne and Wear,North East,,Tyne and Wear,,,County England
TP{3cDxp#,County Durham,North East,,County Durham,,,County England
ujWwfrMGn},North Yorkshire,Yorkshire and the Humber,,North Yorkshire,,,County England
tJjR!`8{&k,East Riding of Yorkshire,Yorkshire and the Humber,,East Riding of Yorkshire,,,County England
kIfER~x`?[,South Yorkshire,Yorkshire and the Humber,,South Yorkshire,,,County England
q?9EsNCeO_,West Yorkshire,Yorkshire and the Humber,,West Yorkshire,,,County England
dJ(V;rqihR,Lancashire,North West,,Lancashire,,,County England
j>Nv&|XB?I,Greater Manchester,North West,,Greater Manchester,,,County England
nk7<>-ed_H,Merseyside,North West,,Merseyside,,,County England
"i8G9:9M+%,",Cumbria,North West,,Cumbria,,,County England
tzp}6n}-wO,Cheshire,North West,,Cheshire,,,County England
fsix*y3#_z,Herefordshire,West Midlands,,Herefordshire,,,County England
o}1<m#9p/a,Shropshire,West Midlands,,Shropshire,,,County England
oJ^3QlKX6.,Staffordshire,West Midlands,,Staffordshire,,,County England
ocD.-@Sg4_,West Midlands (county),West Midlands,,West Midlands (county),,,County England
fVJRT<LuH,Worcestershire,West Midlands,,Worcestershire,,,County England
l=d;(k=<.5,Warwickshire,West Midlands,,Warwickshire,,,County England
k=#RU$T?)T,Nottinghamshire,East Midlands,,Nottinghamshire,,,County England
es7J2UPObN,Lincolnshire,East Midlands,,Lincolnshire,,,County England
oolQ33e==x,Leicestershire,East Midlands,,Leicestershire,,,County England
n8K[Y$ykA0,Rutland,East Midlands,,Rutland,,,County England
i-:MNVF(o$,Northamptonshire,East Midlands,,Northamptonshire,,,County England
pa*U<`u1zr,Derbyshire,East Midlands,,Derbyshire,,,County England
i-ej5DruGj,Cambridgeshire,East of England,,Cambridgeshire,,,County England
@>AB`0-V:,Norfolk,East of England,,Norfolk,,,County England
ot]u`/Woy-,Suffolk,East of England,,Suffolk,,,County England
qQ-AY^Pw^!,Essex,East of England,,Essex,,,County England
jr}d4-lUwp,Hertfordshire,East of England,,Hertfordshire,,,County England
cr#9W^heW@,Bedfordshire,East of England,,Bedfordshire,,,County England
uGgjQ_Bh9),Buckinghamshire,South East,,Buckinghamshire,,,County England
|W?uk]gYh,Berkshire,South East,,Berkshire,,,County England
q`!CDi;Wlz,Surrey,South East,,Surrey,,,County England
nshj+EZN<X,West Sussex,South East,,West Sussex,,,County England
hPdV6<Tq}J,Kent,South East,,Kent,,,County England
f3bgF1)lHj,East Sussex,South East,,East Sussex,,,County England
ch=z-@zFvi,Hampshire,South East,,Hampshire,,,County England
c?O:4<%SEs,Oxfordshire,South East,,Oxfordshire,,,County England
"gsfy|G?,=N",Isle of Wight,South East,,Isle of Wight,,,County England
viW8:0tA)A,Gloucestershire,South West,,Gloucestershire,,,County England
i8GKT5kJLm,Wiltshire,South West,,Wiltshire,,,County England
g#>Vs%yRK*,Somerset,South West,,Somerset,,,County England
iCp*(T(B1V,Bristol,South West,,Bristol,,,County England
l04U`0l[H4,Dorset,South West,,Dorset,,,County England
c|W6Rp*[G`,Devon,South West,,Devon,,,County England
pj$C=aV9=s,Cornwall,South West,,Cornwall,,,County England
ecAaOp*}`@,City of London,London,,City of London,,,County England
r;cR3shk^w,Greater London,London,,Greater London,,,County England
iwUzS8.*%5,Gwynedd,Wales,,Gwynedd,,,County Wales
gZjWafV})@,Clwyd,Wales,,Clwyd,,,County Wales
"nQ[Y>PV+,Y",Powys,Wales,,Powys,,,County Wales
pdC>zX[L81,Dyfed,Wales,,Dyfed,,,County Wales
piKj9G}]&k,West Glamorgan,Wales,,West Glamorgan,,,County Wales
kJs7Dh_ji5,Mid Glamorgan,Wales,,Mid Glamorgan,,,County Wales
l/^Nf2/&@G,South Glamorgan,Wales,,South Glamorgan,,,County Wales
s|}?QZ[k@-,Gwent (county),Wales,,Gwent (county),,,County Wales
ew/jnMQU(A,County Armagh,Northern Ireland,,County Armagh,,,County NorthernIreland
ewfQ@(3Nu{,County Down,Northern Ireland,,County Down,,,County NorthernIreland
cmIlx?2~e],County Antrim,Northern Ireland,,County Antrim,,,County NorthernIreland
ll1$wMfo0R,County Londonderry,Northern Ireland,,County Londonderry,,,County NorthernIreland
o<|AL}@8la,County Tyrone,Northern Ireland,,County Tyrone,,,County NorthernIreland
rOQ!UB0y>D,County Fermanagh,Northern Ireland,,County Fermanagh,,,County NorthernIreland
gc+[o)<nd9,Aberdeenshire,Scotland,,Aberdeenshire,,,County Scotland
"b?s,I3nkjs",Aberdeen City,Scotland,,Aberdeen City,,,County Scotland
n?]jo!KuD!,Angus,Scotland,,Angus,,,County Scotland
nhryF6Y|Nn,Argyll and Bute,Scotland,,Argyll and Bute,,,County Scotland
vwUN1My*8`,City of Edinburgh,Scotland,,City of Edinburgh,,,County Scotland
o|4!{v(sjQ,Clackmannanshire,Scotland,,Clackmannanshire,,,County Scotland
j_0JSAd[{X,Dumfries and Galloway,Scotland,,Dumfries and Galloway,,,County Scotland
cI(yG[UV6+,Dundee City,Scotland,,Dundee City,,,County Scotland
