guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
mP*6#3CNOL,North East,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-North East.svg"" />",,,Region England
s2UF-q&*/M,Yorkshire and the Humber,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-Yorkshire and the Humber.svg"" />",,,Region England
hE~2]i^Pg#,North West,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-North West.svg"" />",,,Region England
puL~Ff0vgC,West Midlands,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-West Midlands.svg"" />",,,Region England
"uO;W$l&sZ,",East Midlands,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-East Midlands.svg"" />",,,Region England
ikX2^0<[S@,East of England,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-East of England.svg"" />",,,Region England
iw2!K-[x-t,South East,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-South East.svg"" />",,,Region England
vGBy.%7E(Q,South West,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-South West.svg"" />",,,Region England
myE.~t-i%T,London,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-London.svg"" />",,,Region England
frGExSq8@],Wales,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-Wales.svg"" />",,,Region Wales
raBJOLa):M,Northern Ireland,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-Northern Ireland.svg"" />",,,Region NorthernIreland
oT6@WQ?[qi,Scotland,,,Region,,"<img src=""uk_regions.svg"" />","<img src=""r-Scotland.svg"" />",,,Region Scotland
nQGmB9h3.e,Northumberland,North East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Northumberland.svg"" />","<img src=""locator-Northumberland.svg"" />","<img src=""uk_regions.svg"" />",County England
sH4CviED4q,Tyne and Wear,North East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Tyne and Wear.svg"" />","<img src=""locator-Tyne and Wear.svg"" />","<img src=""uk_regions.svg"" />",County England
t#M[q&i{hC,County Durham,North East,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Durham.svg"" />","<img src=""locator-County Durham.svg"" />","<img src=""uk_regions.svg"" />",County England
i@CA0)K3~d,North Yorkshire,Yorkshire and the Humber,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-North Yorkshire.svg"" />","<img src=""locator-North Yorkshire.svg"" />","<img src=""uk_regions.svg"" />",County England
