guid,location,macrolocation,city,county,region,bow,tags
"!*Ic,G(Dim",Irish Sea,,,,,Irish Sea,BoW
!58(Hv-qKj,East Sussex,South East,,East Sussex,,,"County, England"
!:x+PVz4Rz,East Ayrshire,Scotland,,East Ayrshire,,,"County, Scotland"
"!id%,`^~s*",Celtic Sea,,,,,Celtic Sea,BoW
!OL>3U6i8g,Ely,Cambridgeshire,Ely,,,,"City, England"
!qt-S0=X_g,Truro,Cornwall,Truro,,,,"City, England"
"!u(^,]7)|z",Herefordshire,West Midlands,,Herefordshire,,,"County, England"
!U|SYeFqW,Moray,Scotland,,Moray,,,"County, Scotland"
#%VruHCWN*,Somerset,South West,,Somerset,,,"County, England"
"#1)sc$Zd,@",Clwyd,Wales,,Clwyd,,,"County, Wales"
#^FuY8QTTQ,The Wash,,,,,The Wash,BoW
#eM0qK@sg9,Aberdeenshire,Scotland,,Aberdeenshire,,,"County, Scotland"
#Sww~g-ZL6,Wells,Somerset,Wells,,,,"City, England"
#u$_~a^;@N,Isle of Wight,South East,,Isle of Wight,,,"County, England"
"$,z!fd()gr",East of England,,,,East of England,,"Region, England"
$30c4/#dc~,Newry,County Armagh / County Down,Newry,,,,"City, NorthernIreland"
$:f*7:f3xi,Midlothian,Scotland,,Midlothian,,,"County, Scotland"
$f1OOoDy7|,Cambridge,Cambridgeshire,Cambridge,,,,"City, England"
$G5u}H<e)P,Oxford,Oxfordshire,Oxford,,,,"City, England"
$R!r8TXvbJ,Kent,South East,,Kent,,,"County, England"
%!>cS-RZNQ,Worcester,Worcestershire,Worcester,,,,"City, England"
"%!aF<DQ:),",Cumbria,North West,,Cumbria,,,"County, England"
%!agVzoOOm,Wiltshire,South West,,Wiltshire,,,"County, England"
%/#+7|vzJj,Cambridgeshire,East of England,,Cambridgeshire,,,"County, England"
%/RiPpJ-r$,Northamptonshire,East Midlands,,Northamptonshire,,,"County, England"
%7S1q{f!Qk,Ripon,North Yorkshire,Ripon,,,,"City, England"
"%E/N*n,G4V",Bristol,South West,,Bristol,,,"County, England"
%p(3NzC<-M,Inverness,Highland (council area),Inverness,,,,"City, Scotland"
%sCX-zL{j0,Bradford,West Yorkshire,Bradford,,,,"City, England"
%yo`UC</)5,Gwynedd,Wales,,Gwynedd,,,"County, Wales"
&*TDB.H?_E,Northumberland,North East,,Northumberland,,,"County, England"
&.}C41k1kl,Kingston upon Hull,East Riding of Yorkshire,Kingston upon Hull,,,,"City, England"
&1-9dN7xRY,Highland (council area),Scotland,,Highland (council area),,,"County, Scotland"
&@h[)41G]I,Greater Manchester,North West,,Greater Manchester,,,"County, England"
&^UV.x;@eT,Gloucester,Gloucestershire,Gloucester,,,,"City, England"
&B{eu2o.{H,Perth,Perth and Kinross,Perth,,,,"City, Scotland"
&E7tMSGK.$,East Lothian,Scotland,,East Lothian,,,"County, Scotland"
&r@zL{]YVS,Winchester,Hampshire,Winchester,,,,"City, England"
